City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,27.89,69,5,0.62,MV,1681064295
1,flinders,-34.5833,150.8552,11.77,74,9,1.79,AU,1681064295
2,puerto ayora,-0.7393,-90.3518,29.98,84,41,3.13,EC,1681064296
3,bengkulu,-3.8004,102.2655,24.2,90,93,1.89,ID,1681064296
4,arraial do cabo,-22.9661,-42.0278,24.98,78,100,4.12,BR,1681064296
5,vila velha,-20.3297,-40.2925,26.97,74,40,7.72,BR,1681064296
6,hilo,19.7297,-155.09,23.95,77,40,1.54,US,1681064117
7,vallenar,-28.5708,-70.7581,28.25,34,3,3.12,CL,1681064218
8,leningradskiy,69.3833,178.4167,-19.85,97,100,6.77,RU,1681064003
9,narsaq,60.9167,-46.05,2.12,80,100,0.45,GL,1681064297
10,bluff,-46.6,168.3333,11.56,86,100,3.05,NZ,1681064297
11,upernavik,72.7868,-56.1549,-15.85,90,99,5.7,GL,1681064298
12,mataura,-46.1927,168.8643,11.38,96,98,1.81,NZ,1681064298
13,hasaki,35.7333,140.8333,7.34,59,7,4.51,JP,1681064298
14,port elizabeth,-33.918,25.5701,16.29,81,0,6.69,ZA,1681064298
15,ust-nera,64.5667,143.2,-17.15,96,76,3.37,RU,1681064298
16,yellowknife,62.456,-114.3525,1.29,69,40,1.54,CA,1681064081
17,ushuaia,-54.8,-68.3,-0.19,100,75,6.17,AR,1681064299
18,tautira,-17.7333,-149.15,26.91,77,100,6.68,PF,1681064299
19,new norfolk,-42.7826,147.0587,9.95,65,100,1.34,AU,1681064300
20,busselton,-33.65,115.3333,14.79,85,89,1.62,AU,1681064300
21,tuktoyaktuk,69.4541,-133.0374,-15.0,78,75,9.77,CA,1681064300
22,gualaceo,-2.9,-78.7833,19.81,85,99,2.69,EC,1681064301
23,peniche,39.3558,-9.3811,20.04,74,73,5.02,PT,1681064301
24,pangai,-19.8,-174.35,27.06,89,20,5.14,TO,1681064301
25,katsuura,35.1333,140.3,13.34,64,10,4.8,JP,1681064301
26,atuona,-9.8,-139.0333,26.52,77,3,4.75,PF,1681064302
27,tasiilaq,65.6145,-37.6368,6.09,78,100,20.07,GL,1681064302
28,santa rita do passa quatro,-21.7103,-47.4781,24.0,74,100,1.72,BR,1681064302
29,cidreira,-30.1811,-50.2056,23.87,73,28,6.41,BR,1681064302
30,torbay,47.6666,-52.7314,0.32,51,75,7.72,CA,1681064134
31,kapaa,22.0752,-159.319,24.18,79,40,8.75,US,1681064303
32,makakilo city,21.3469,-158.0858,23.18,80,20,4.12,US,1681064303
33,sitka,57.0531,-135.33,4.94,81,100,2.06,US,1681064303
34,poum,-20.2333,164.0167,26.02,73,19,1.05,NC,1681064303
35,atambua,-9.1061,124.8925,23.04,94,100,2.41,ID,1681064304
36,san cristobal,7.7669,-72.225,28.1,44,53,3.34,VE,1681064304
37,darnah,32.767,22.6367,15.11,78,7,5.97,LY,1681064304
38,lompoc,34.6391,-120.4579,24.27,67,2,1.34,US,1681064031
39,kresek,-6.1314,106.3797,27.84,84,91,3.72,ID,1681064304
40,vostok,46.4856,135.8833,-1.91,67,74,2.06,RU,1681064305
41,riyadh,24.6877,46.7219,26.08,10,19,3.39,SA,1681064305
42,praia da vitoria,38.7333,-27.0667,20.14,77,20,2.41,PT,1681064305
43,palora,-1.7,-77.9333,26.06,83,88,1.18,EC,1681064305
44,barrow,71.2906,-156.7887,-22.99,77,100,5.14,US,1681064306
45,lata,40.1629,-8.3327,20.51,47,49,2.59,PT,1681064306
46,zhigansk,66.7697,123.3711,-22.74,100,100,3.51,RU,1681064306
47,khatanga,71.9667,102.5,-20.72,99,100,2.74,RU,1681064306
48,half moon bay,37.4636,-122.4286,21.41,64,0,2.57,US,1681064057
49,albany,42.6001,-73.9662,12.67,21,0,0.89,US,1681064133
50,labuan,5.2767,115.2417,26.2,83,20,1.54,MY,1681064307
51,hermanus,-34.4187,19.2345,16.11,71,1,6.32,ZA,1681064307
52,port hedland,-20.3167,118.5667,27.03,69,13,5.14,AU,1681064308
53,jamestown,42.097,-79.2353,12.25,36,0,3.6,US,1681064017
54,vaini,-21.2,-175.2,23.09,94,20,1.03,TO,1681064308
55,chokurdakh,70.6333,147.9167,-26.01,94,63,3.52,RU,1681064308
56,provideniya,64.3833,-173.3,-21.8,90,78,2.39,RU,1681064309
57,regenstauf,49.1217,12.1292,8.01,79,66,1.45,DE,1681064309
58,maiduguri,11.8464,13.1603,35.82,14,88,2.1,NG,1681064309
59,hobart,-42.8794,147.3294,10.14,72,100,8.75,AU,1681064228
60,alugan,12.2188,125.4808,26.09,83,100,5.63,PH,1681064310
61,bambous virieux,-20.3428,57.7575,25.68,88,75,1.03,MU,1681064111
62,rikitea,-23.1203,-134.9692,24.68,61,1,3.29,PF,1681064310
63,nouadhibou,20.931,-17.0347,24.99,53,0,8.23,MR,1681064310
64,bethel,41.3712,-73.414,14.46,28,0,3.09,US,1681064311
65,saint-paul,-21.0096,55.2707,26.06,92,100,0.68,RE,1681064072
66,celina,40.5489,-84.5702,17.47,34,0,3.37,US,1681064311
67,inuvik,68.3499,-133.7218,-9.52,62,75,3.09,CA,1681064311
68,sao filipe,14.8961,-24.4956,22.12,71,31,5.87,CV,1681064311
69,mahebourg,-20.4081,57.7,25.7,88,75,1.03,MU,1681064312
70,jiazi,22.8779,116.067,18.09,72,3,3.94,CN,1681064312
71,punta arenas,-53.15,-70.9167,6.06,52,20,12.86,CL,1681064208
72,oriximina,-1.7656,-55.8661,31.85,56,43,0.72,BR,1681064312
73,thompson,55.7435,-97.8558,7.09,53,40,6.17,CA,1681064316
74,airai,-8.9266,125.4092,15.78,96,99,1.55,TL,1681064317
75,alma,48.5501,-71.6491,7.56,53,88,4.32,CA,1681064317
76,qaanaaq,77.484,-69.3632,-20.42,70,4,1.51,GL,1681064116
77,chongoyape,-6.6406,-79.3892,30.66,60,87,3.05,PE,1681064317
78,cherskiy,68.75,161.3,-26.66,91,5,1.47,RU,1681064318
79,mar del plata,-38.0023,-57.5575,28.24,49,0,7.72,AR,1681064318
80,joensuu,62.6012,29.7632,6.27,42,0,2.06,FI,1681064318
81,poronaysk,49.2167,143.1167,-2.56,73,8,3.04,RU,1681064318
82,lexington,37.9887,-84.4777,18.52,25,0,6.69,US,1681064057
83,ribeira grande,38.5167,-28.7,17.65,94,75,5.66,PT,1681064319
84,kaitangata,-46.2817,169.8464,13.05,96,95,4.9,NZ,1681064319
85,launceston,-41.45,147.1667,8.8,72,12,6.69,AU,1681064319
86,fairbanks,64.8378,-147.7164,-15.22,72,100,4.63,US,1681064132
87,carnarvon,-24.8667,113.6333,21.9,65,4,4.89,AU,1681064319
88,grants pass,42.439,-123.3284,15.46,66,100,0.0,US,1681064320
89,kavieng,-2.5744,150.7967,26.92,79,100,2.67,PG,1681064320
90,avarua,-21.2078,-159.775,24.03,100,24,0.51,CK,1681064320
91,ayan,56.45,138.1667,-11.78,79,11,4.44,RU,1681064320
92,placerville,38.7296,-120.7986,22.25,53,0,2.06,US,1681064321
93,alofi,-19.0595,-169.9187,24.94,94,27,3.09,NU,1681064321
94,cape town,-33.9258,18.4232,19.1,74,40,3.09,ZA,1681063901
95,orlik,52.5178,99.825,-12.38,83,98,6.6,RU,1681064321
96,castro,-24.7911,-50.0119,20.67,76,91,1.9,BR,1681064321
97,kalmunai,7.4167,81.8167,27.24,78,59,1.97,LK,1681064322
98,nikolskoye,59.7035,30.7861,7.94,98,44,2.25,RU,1681064322
99,seoul,37.5683,126.9778,6.69,87,0,1.03,KR,1681064232
100,hatta,24.1167,79.6,28.5,27,66,0.82,IN,1681064322
101,asyut,27.181,31.1837,32.06,10,92,2.93,EG,1681064322
102,shangrao,28.4532,117.9686,15.37,79,0,1.01,CN,1681064323
103,clyde river,70.4692,-68.5914,-18.87,71,0,0.0,CA,1681064323
104,snyder,32.7179,-100.9176,23.38,49,40,5.14,US,1681064323
105,casablanca,33.5928,-7.6192,25.12,56,0,3.09,MA,1681064323
106,faranah,10.0404,-10.7434,34.66,32,70,1.43,GN,1681064324
107,daru,-9.0763,143.2092,24.58,90,100,2.17,PG,1681064324
108,butaritari,3.0707,172.7902,27.09,80,84,2.82,KI,1681064324
109,morondava,-20.2833,44.2833,27.16,81,2,4.96,MG,1681064324
110,kamina,-8.7386,24.9906,19.5,90,91,0.53,CD,1681064325
111,port alfred,-33.5906,26.891,15.66,91,100,2.68,ZA,1681064325
112,dzemul,21.2,-89.3,33.36,30,3,3.74,MX,1681064325
113,smithers,54.7804,-127.1743,4.18,87,100,4.63,CA,1681064325
114,shimoda,34.6667,138.95,12.36,62,0,1.71,JP,1681064095
115,springbok,-29.6643,17.8865,10.31,48,0,3.47,ZA,1681064326
116,beisfjord,68.3751,17.5988,4.03,85,68,2.67,NO,1681064327
117,bredasdorp,-34.5322,20.0403,15.34,64,12,5.58,ZA,1681064327
118,dikson,73.5069,80.5464,-23.9,88,100,3.55,RU,1681064327
119,beyneu,45.3167,55.2,13.25,61,91,1.89,KZ,1681064327
120,luderitz,-26.6481,15.1594,15.96,53,0,11.19,NA,1681064328
121,hostotipaquillo,21.0667,-104.0667,30.92,15,77,0.41,MX,1681064328
122,tahe,52.3333,124.7333,-4.61,78,90,1.09,CN,1681064328
123,rumoi,43.9344,141.6428,1.46,85,38,2.84,JP,1681064328
124,port hardy,50.6996,-127.4199,7.0,100,100,2.57,CA,1681064328
125,la primavera,5.4906,-70.4092,31.32,51,70,2.76,CO,1681064329
126,fort frances,48.5999,-93.4003,13.12,38,0,4.12,CA,1681064329
127,guerrero negro,27.9769,-114.0611,18.63,61,65,5.17,MX,1681064329
128,coahuayana,18.7333,-103.6833,33.52,30,69,3.06,MX,1681064329
129,erdenet,49.0333,104.0833,-4.04,35,15,5.44,MN,1681064329
130,pangkalanbuun,-2.6833,111.6167,23.03,98,92,1.33,ID,1681064330
131,vorukh,39.8494,70.5838,11.23,65,96,3.28,TJ,1681064330
132,touros,-5.1989,-35.4608,28.48,72,98,6.12,BR,1681064330
133,avera,33.194,-82.5271,17.17,53,83,7.45,US,1681064330
134,ostrovnoy,68.0531,39.5131,0.43,94,100,5.44,RU,1681064330
135,zhukovka,53.534,33.728,11.15,69,96,1.99,RU,1681064331
136,nome,64.5011,-165.4064,-19.96,84,100,3.09,US,1681064331
137,mankera,31.3866,71.4407,28.94,20,1,2.9,PK,1681064332
138,bonthe,7.5264,-12.505,28.35,63,81,5.41,SL,1681064332
139,pevek,69.7008,170.3133,-30.64,100,100,2.27,RU,1681064332
140,dudinka,69.4058,86.1778,-31.44,100,88,2.15,RU,1681064332
141,jinka,5.65,36.65,22.19,51,94,1.08,ET,1681064332
142,port keats,-14.25,129.55,24.63,91,100,5.0,AU,1681064333
143,castleisland,52.2333,-9.4667,10.2,97,100,2.5,IE,1681064333
144,comodoro rivadavia,-45.8667,-67.5,5.92,70,75,5.66,AR,1681064333
145,ialibu,-6.2821,143.9935,13.19,98,100,1.01,PG,1681064333
146,rabo de peixe,37.8,-25.5833,16.73,88,40,4.63,PT,1681064334
147,kudahuvadhoo,2.6708,72.8944,28.26,74,10,4.28,MV,1681064334
148,noyabrsk,63.1994,75.4507,-0.82,96,100,7.21,RU,1681064334
149,saint-pierre,-21.3393,55.4781,25.82,83,75,3.09,RE,1681064305
150,yerbogachen,61.2767,108.0108,-15.95,96,100,1.61,RU,1681064334
151,lukovetskiy,64.2956,41.9211,0.12,92,100,1.15,RU,1681064335
152,bow island,49.8668,-111.3684,13.16,50,4,4.12,CA,1681064335
153,kamenka,51.3223,42.7678,8.2,55,48,2.64,RU,1681064335
154,fort nelson,58.8053,-122.7002,7.77,39,75,2.06,CA,1681064335
155,aswan,24.0934,32.907,33.08,24,7,1.87,EG,1681064335
156,machilipatnam,16.1667,81.1333,26.61,72,0,3.78,IN,1681064335
157,victoria,22.2855,114.1577,21.29,79,85,0.89,HK,1681064336
158,klaksvik,62.2266,-6.589,7.51,94,99,13.27,FO,1681064336
159,east london,-33.0153,27.9116,18.22,83,90,8.81,ZA,1681064336
160,richards bay,-28.783,32.0377,25.23,85,73,5.14,ZA,1681064336
161,buin,-33.7333,-70.75,31.35,10,0,2.82,CL,1681064337
162,chacaltianguis,18.3333,-95.8333,30.66,50,59,3.31,MX,1681064337
163,kyshtovka,56.555,76.6271,0.07,87,75,5.11,RU,1681064337
164,sarkand,45.41,79.9186,4.93,46,39,1.25,KZ,1681064337
165,talnakh,69.4865,88.3972,-27.5,96,81,1.7,RU,1681064338
166,iwanai,42.9744,140.5089,1.27,86,15,2.59,JP,1681064338
167,tacuarembo,-31.7333,-55.9833,28.02,34,0,1.87,UY,1681064338
168,nakasongola,1.3089,32.4564,19.84,86,49,2.18,UG,1681064339
169,endirey,43.1632,46.654,9.12,80,39,1.61,RU,1681064339
170,vila,42.0304,-8.1588,14.83,54,100,1.78,PT,1681063853
171,yaan,7.3833,8.5667,31.24,49,100,4.9,NG,1681064339
172,norman wells,65.282,-126.8329,-0.98,74,20,6.17,CA,1681064340
173,feijo,-8.1642,-70.3536,25.87,91,96,1.35,BR,1681064340
174,hofn,64.2539,-15.2082,6.96,92,100,11.14,IS,1681064340
175,saint-philippe,-21.3585,55.7679,25.77,83,100,2.86,RE,1681064340
176,riverton,40.5219,-111.9391,17.32,41,0,2.24,US,1681064104
177,gamba,-2.65,10.0,25.96,85,100,3.32,GA,1681064341
178,port shepstone,-30.7414,30.455,23.05,91,90,4.69,ZA,1681064341
179,pisco,-13.7,-76.2167,27.03,69,0,5.66,PE,1681064341
180,kirakira,-10.4544,161.9205,26.72,84,72,2.46,SB,1681064341
181,capinopolis,-18.6819,-49.5697,26.15,66,97,1.6,BR,1681064341
182,esil,51.9556,66.4042,3.14,48,1,2.13,KZ,1681064342
183,saint-georges,12.0564,-61.7485,28.82,70,20,7.72,GD,1681064044
184,vardo,70.3705,31.1107,0.99,80,75,5.14,NO,1681064342
185,lagoa,39.05,-27.9833,16.07,88,55,7.03,PT,1681064343
186,oktyabrskiy,54.4815,53.471,6.33,42,57,1.81,RU,1681064343
187,srednekolymsk,67.45,153.6833,-20.82,99,15,3.47,RU,1681064344
188,amboasary,-25.0333,46.3833,23.49,89,1,3.2,MG,1681064344
189,sabya,17.1495,42.6254,31.79,48,0,2.9,SA,1681064344
190,middle island,40.8843,-72.9373,12.58,46,0,6.17,US,1681064345
191,codrington,-38.2667,141.9667,12.65,74,92,5.79,AU,1681064345
192,beringovskiy,63.05,179.3167,-21.22,100,76,2.34,RU,1681064345
193,togur,58.3631,82.8265,-5.69,82,100,3.86,RU,1681064346
194,haines junction,60.7522,-137.5108,0.97,80,66,2.06,CA,1681064346
195,soyo,-6.1349,12.3689,27.37,85,100,3.6,AO,1681064346
196,college,64.8569,-147.8028,-15.23,72,100,4.63,US,1681064346
197,mutsu,41.2894,141.2169,5.92,78,6,4.78,JP,1681064347
198,yulara,-25.2406,130.9889,22.19,32,44,3.96,AU,1681064347
199,shebunino,46.4339,141.8603,2.16,89,16,3.65,RU,1681064347
200,bendigo,-36.7667,144.2833,7.7,55,9,3.29,AU,1681064347
201,aztec,36.8222,-107.9929,17.18,24,66,1.52,US,1681064273
202,saskylakh,71.9167,114.0833,-19.52,99,99,1.08,RU,1681064348
203,roma,43.2128,-75.4557,11.49,24,0,4.02,US,1681064348
204,awjilah,29.1081,21.2869,20.0,45,0,9.82,LY,1681064349
205,winona,43.9666,-91.7668,19.89,17,0,5.14,US,1681064349
206,shelburne,44.0787,-80.2041,9.57,42,9,2.07,CA,1681064349
207,jiwani,25.05,61.7417,25.26,67,33,4.66,PK,1681064349
208,warmbad,-28.45,18.7333,17.38,22,0,6.29,NA,1681064350
209,iqaluit,63.7506,-68.5145,-19.15,65,20,7.2,CA,1681064295
210,geraldton,-28.7667,114.6,12.23,87,0,2.57,AU,1681064351
211,kodiak,57.79,-152.4072,-7.27,45,0,11.83,US,1681064351
212,mount gambier,-37.8333,140.7667,11.25,86,82,2.48,AU,1681064352
213,dubbo,-32.25,148.6167,5.07,93,0,3.09,AU,1681064352
214,itarema,-2.9248,-39.9167,27.37,83,96,3.88,BR,1681064352
215,tual,-5.6667,132.75,28.09,75,100,3.31,ID,1681064352
216,watsa,3.0372,29.5355,21.09,75,53,1.37,CD,1681064353
217,ayabaca,-4.6398,-79.7149,18.03,59,69,2.13,PE,1681064353
218,saldanha,-33.0117,17.9442,15.03,73,0,3.77,ZA,1681064353
219,reconquista,-29.15,-59.65,28.31,34,0,1.09,AR,1681064354
220,nanortalik,60.1432,-45.2371,-1.25,92,100,8.09,GL,1681064354
221,binzhou,37.3667,118.0167,18.92,54,16,8.11,CN,1681064354
222,isangel,-19.55,169.2667,26.45,82,36,1.4,VU,1681064355
223,saint-joseph,-21.3667,55.6167,25.21,83,100,1.22,RE,1681064355
224,manaia,-39.55,174.1333,16.43,86,100,5.32,NZ,1681064355
225,krapivinskiy,54.9992,86.8133,-6.79,85,59,1.91,RU,1681064355
226,rocha,-34.4833,-54.3333,27.31,32,0,3.29,UY,1681064146
227,tiksi,71.6872,128.8694,-16.71,92,100,3.35,RU,1681064356
228,honningsvag,70.9821,25.9704,2.86,81,75,3.6,NO,1681064356
229,mehamn,71.0357,27.8492,2.97,87,75,6.69,NO,1681064357
230,astana,51.1801,71.446,-4.03,63,0,2.0,KZ,1681064357
231,namibe,-15.1961,12.1522,24.22,78,68,5.54,AO,1681064357
232,gaspe,48.8334,-64.4819,-0.05,55,100,7.2,CA,1681064358
233,dzhebariki-khaya,62.2167,135.8,-27.23,100,77,0.76,RU,1681064358
234,fort saint james,54.4333,-124.25,5.09,87,100,5.27,CA,1681064358
235,krasnyy chikoy,50.3643,108.7512,-3.48,83,100,6.08,RU,1681064358
236,esperance,-33.8667,121.9,15.63,91,20,5.16,AU,1681064358
237,palana,59.1167,159.9667,-9.81,85,94,5.11,RU,1681064359
238,lavrentiya,65.5833,-171.0,-19.47,88,100,3.18,RU,1681064359
239,westport,41.1415,-73.3579,14.23,38,0,5.14,US,1681063569
240,sorong,-0.8833,131.25,26.03,85,100,2.11,ID,1681064360
241,juybar,36.6412,52.9124,13.09,85,51,2.05,IR,1681064360
242,olafsvik,64.8945,-23.7142,6.84,83,100,12.55,IS,1681064361
243,kindu,-2.95,25.95,23.16,81,23,0.32,CD,1681064361
244,port macquarie,-31.4333,152.9167,9.94,65,0,3.12,AU,1681064361
245,leua,48.2156,18.6071,6.27,74,92,0.84,SK,1681064361
246,salinopolis,-0.6136,-47.3561,27.47,79,74,2.5,BR,1681064189
247,vire,48.9167,-0.8333,13.66,79,100,2.5,FR,1681064362
248,narasannapeta,18.4167,84.05,27.13,68,8,2.41,IN,1681064362
249,lebu,-37.6167,-73.65,17.77,56,99,2.54,CL,1681064362
250,cabo san lucas,22.8909,-109.9124,28.12,41,40,2.06,MX,1681064110
251,namatanai,-3.6667,152.4333,25.62,85,100,1.95,PG,1681064363
252,margate,51.3813,1.3862,12.05,78,92,0.45,GB,1681064311
253,paamiut,61.994,-49.6678,-2.27,82,100,12.45,GL,1681064363
254,umm kaddadah,13.6017,26.6876,30.83,9,82,4.58,SD,1681064363
255,kulunda,52.566,78.9385,2.41,64,80,1.97,RU,1681064364
256,ponta do sol,32.6667,-17.1,20.95,69,1,2.15,PT,1681064364
257,araouane,18.9048,-3.5265,33.07,11,100,5.72,ML,1681064364
258,fallon,39.4735,-118.7774,17.84,33,0,0.0,US,1681064202
259,nioro,13.35,-15.75,36.33,14,55,3.29,GM,1681064365
260,kholtoson,50.2981,103.3097,-7.8,68,70,2.61,RU,1681064365
261,san bartolome de tirajana,27.9248,-15.5733,15.73,62,20,10.8,ES,1681064365
262,fortuna,40.5982,-124.1573,20.52,53,50,1.34,US,1681064366
263,christchurch,-43.5333,172.6333,15.51,91,98,5.14,NZ,1681064366
264,limbang,4.75,115.0,25.06,98,73,0.98,MY,1681064366
265,broome,42.2506,-75.833,13.34,28,0,1.79,US,1681064367
266,asau,46.4333,26.4,4.6,90,78,0.91,RO,1681064367
267,mount isa,-20.7333,139.5,11.87,71,89,0.0,AU,1681064367
268,griffith,41.5284,-87.4237,20.06,27,0,5.66,US,1681064368
269,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,100,100,3.0,RU,1681064368
270,chumikan,54.7183,135.315,-11.0,95,94,0.66,RU,1681064368
271,ambon,-3.6954,128.1814,25.08,94,20,2.06,ID,1681064368
272,bathsheba,13.2167,-59.5167,29.34,65,40,9.26,BB,1681063914
273,bilma,18.6853,12.9164,34.07,11,47,3.99,NE,1681064369
274,nha trang,12.25,109.1833,27.0,93,19,2.27,VN,1681064369
275,cardston,49.2,-113.3019,13.08,35,86,6.17,CA,1681064369
276,maragogi,-9.0122,-35.2225,28.22,72,82,4.31,BR,1681064369
277,kurduvadi,18.0833,75.4333,31.0,37,57,5.96,IN,1681064370
278,cap malheureux,-19.9842,57.6142,25.82,78,100,1.34,MU,1681064370
279,castleblayney,54.1167,-6.7333,11.01,92,100,7.1,IE,1681064370
280,tsiroanomandidy,-18.7667,46.0333,19.67,90,3,0.52,MG,1681064370
281,lemery,11.2258,122.9275,23.47,91,99,2.21,PH,1681064371
282,cayenne,4.9333,-52.3333,30.02,66,100,4.12,GF,1681064371
283,maltahohe,-24.8333,16.9833,18.59,17,0,6.43,NA,1681064371
284,jega,12.2175,4.3792,37.24,10,97,4.04,NG,1681064371
